id,state,nature,address,zipcode,numero,cardinal,voie,lieu_dit,city,county,ministry,description,registration_year,buyer,procedure,disposal_year,latitude,longitude
166609,Cession à venir,BUREAU,"10 et 12, rue Bégand",10000,,,,,TROYES,AUBE,,,,,,,48.298122,4.077434
7019401,Cession à venir,ESPACE NATUREL,Les Mottes,10100,,,,,PARS LES ROMILLY,AUBE,Ministère de la Transition écologique et solidaire,,,,,,48.516332,3.637762
5760663,Cession à venir,ESPACE NATUREL,La Vallée Brodey et la Varille,10220,,,,,PINEY,AUBE,,,,,,,48.362111,4.332588
4308567,Cession à venir,LOGEMENT,"6, avenue Irène et Frédéric Joliot Curie",11000,,,,,CARCASSONNE,AUDE,,,,,,,43.216214,2.413346
694449,Cession à venir,null,"248, avenue Général Leclerc",11000,,,,,CARCASSONNE,AUDE,,,,,,,43.216214,2.413346
2735348,Cession à venir,null,Salvaza,11000,,,,,CARCASSONNE,AUDE,Ministère de la Transition écologique et solidaire,,,,,,43.216214,2.413346
1814635,Cession à venir,ESPACE NATUREL,"Chemin de Cellies;Lieu dit ""Las Seignes",11110,,,,,COURSAN,AUDE,,,,,,,43.232185,3.05782
6282375,Cession à venir,null,Boulevard Avenir,11210,,,,,PORT LA NOUVELLE,AUDE,,,,,,,43.022599,3.041363
3108560,Cession à venir,MONUMENT ET MEMORIAL,"11, cours Colbert",11230,,,,,CHALABRE,AUDE,Ministère de l'Action et des Comptes publics,,,,,,42.944232,1.99988
171322,Cession à venir,null,Parcelles DY1 et DZ1,11370,,,,,LEUCATE,AUDE,Ministère de la Transition écologique et solidaire,,,,,,42.909313,3.028137
173988,Cession à venir,null,Cap de Front;Voie Leucate,11370,,,,,LEUCATE,AUDE,Ministère de la Transition écologique et solidaire,,,,,,42.909313,3.028137
3864741,Cession à venir,BATIMENT TECHNIQUE,"23, Quai du Port",11400,,,,,CASTELNAUDARY,AUDE,,,,,,,43.36691,1.98884
6727744,Cession à venir,ESPACE NATUREL,Les Faysses,12100,,,,,MILLAU,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.096876,3.077432
6461872,Cession à venir,null,,12100,,,,,MILLAU,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.096876,3.077432
4207563,Cession à venir,null,Brocuejouls,12100,,,,,MILLAU,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.096876,3.077432
6461095,Cession à venir,null,A 75,12100,,,,,SAINT GEORGES DE LUZENCON,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.096876,3.077432
6764698,Cession à venir,null,A 75,12150,,,,,SEVERAC D'AVEYRON,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.321003,3.071469
6603814,Cession à venir,null,"100, place Louis Fontanges",12200,,,,,VILLEFRANCHE DE ROUERGUE,AVEYRON,Ministère de l'Intérieur,,,,,,44.36322,2.045491
4790573,Cession à venir,null,"89, avenue Vincent Cibiel",12200,,,,,VILLEFRANCHE DE ROUERGUE,AVEYRON,,,,,,,44.36322,2.045491
6341661,Cession à venir,null,,12230,,,,,L'HOSPITALET DU LARZAC,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.021789,3.300591
6781303,Cession à venir,null,A 75;Horts de Nadal,12230,,,,,LA CAVALERIE,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.021789,3.300591
6364094,Cession à venir,null,A 75,12230,,,,,LA COUVERTOIRADE,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.021789,3.300591
5924811,Cession à venir,ESPACE NATUREL,Les Baurios,12230,,,,,LA COUVERTOIRADE,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.021789,3.300591
6764695,Cession à venir,null,A 75,12230,,,,,LAPANOUSE DE CERNON,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.021789,3.300591
6341664,Cession à venir,null,A 75,12230,,,,,SAINTE EULALIE DE CERNON,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.021789,3.300591
171228,Cession à venir,null,Lieu-dit Caylus,12400,,,,,SAINT-AFFRIQUE,AVEYRON,,,,,,,43.980988,2.794872
6804745,Cession à venir,null,A 75,12490,,,,,LA BASTIDE PRADINES,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.047499,2.89602
1007608,Cession à venir,null,Pompede,12510,,,,,OLEMPS,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.320653,2.567863
6764692,Cession à venir,null,A75 - la Pinède,12520,,,,,VERRIERES,AVEYRON,Ministère de la Transition écologique et solidaire,,,,,,44.201313,3.095473
171285,Cession à venir,null,Bernard du Bois,13001,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.300334,5.375548
710432,Cession à venir,null,"10, Place de la Joliette",13002,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,,,,,,,43.29831,5.371057
7123084,Cession à venir,LOGEMENT,"40, rue d'Anvers",13004,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,,,,,,,43.311054,5.404699
4746278,Cession à venir,null,"117, rue sainte Cécile",13005,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,,,,,,,43.29271,5.389784
5956029,Cession à venir,null,"459, rue Saint-Pierre",13005,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Ministère de l'Intérieur,,,,,,43.29271,5.389784
175313,Cession à venir,null,Batterie du Mont Rose;Avenue de Montredon,13008,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,,,,,,,43.27912,5.391861
7413697,Cession à venir,SUPPORT DE PARCELLE,"163, avenue de Luminy",13009,,,,,MARSEILLE 09,BOUCHES-DU-RHÔNE,"Ministère de l’Enseignement supérieur, de la Recherche et de l’Innovation",,,,,,43.211656,5.422953
4516148,Cession à venir,null,"56, Traverse Noire",13011,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.303069,5.521107
4520065,Cession à venir,BUREAU,Boulevard Albanès;Quartier La Pomme,13011,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,,,,,,,43.303069,5.521107
171315,Cession à venir,null,"204, avenue de la Croix Rouge",13013,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.322531,5.40695
981838,Cession à venir,null,"17, rue Tempier;C 21",13013,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.322531,5.40695
5767635,Cession à venir,null,Chemin de la Rose à la Grave,13013,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.322531,5.40695
3382854,Cession à venir,LOGEMENT,"58, chemin de Gibbes;1, rue Saint-André",13014,,,,,MARSEILLE,BOUCHES-DU-RHÔNE,Biens non affectés,,,,,,43.326829,5.376281
7626232,Cession à venir,LOGEMENT,"44, avenue Paul Cézanne",13080,,,,,AIX EN PROVENCE,BOUCHES-DU-RHÔNE,Ministère de la Justice,,,,,,43.482614,5.422815
1532850,Cession à venir,null,Quartier Encagnane;Boulevard du Président Kennedy,13090,,,,,AIX EN PROVENCE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.567415,5.409926
4256557,Cession à venir,null,Quartier du Château;Route de Cézanne,13100,,,,,LE THOLONET,BOUCHES-DU-RHÔNE,Ministère de l'Agriculture et de l'Alimentation,,,,,,43.530602,5.446561
4467172,Cession à venir,null,Vallon du Pauvre Homme;Route RN 568,13117,,,,,MARTIGUES,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.369767,5.011905
1787335,Cession à venir,null,Les Hauts de Croze;Allée de la Cadière,13127,,,,,VITROLLES,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.447263,5.248893
7756747,Cession à venir,ESPACE NATUREL,Le repos,13127,,,,,VITROLLES,BOUCHES-DU-RHÔNE,,,,,,,43.447263,5.248893
4519312,Cession à venir,null,Versailles - quartier le Logis Neuf;AH 40,13170,,,,,LES PENNES MIRABEAU,BOUCHES-DU-RHÔNE,,,,,,,43.418356,5.287674
6377225,Cession à venir,null,"Lieu dit ""Barrielle"";Avenue Albert Gleizes",13210,,,,,SAINT REMY DE PROVENCE,BOUCHES-DU-RHÔNE,Ministère de la Transition écologique et solidaire,,,,,,43.789034,4.83115
171333,Cession à venir,null,Avenue Georges Brassens;(Centre de ravitaillement des essences),13230,,,,,PORT-SAINT-LOUIS-DU-RHONE,BOUCHES-DU-RHÔNE,,,,,,,43.382189,4.812039
